OBJECTID,WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,MAP_LABEL,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_DATE,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,CONSULTANT,OWNERSHIP,BRIDGE_MAIN,BRIDGE_DETAILS,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,Undersized,Shallow Main,Condition Score,OVERSIZED,CLEANED,Shape__Length
86329,2320,ACTIVE,KIT 5,20646,226m 150mm  DI,TREATED,150,DI,NO,,NONE,1/1/1989,DONATED,,KITCHENER,N,,5,6,33,N,N,9.1,N,Y,225.992674
86330,90552,ACTIVE,KIT 5,20646,11.6m 150mm  DI,TREATED,150,DI,NO,,NONE,1/1/1989,DONATED,,KITCHENER,N,,6,6,33,N,N,9.1,N,Y,11.57734715
86331,90554,ACTIVE,KIT 6,40171,.7m 200mm  DI,TREATED,200,DI,NO,,NONE,1/1/1980,DONATED,,KITCHENER,N,,6,6,7,N,N,8.5,N,Y,0.699222061
86332,90556,ACTIVE,KIT 6,5502,18.1m 200mm  DI,TREATED,200,DI,NO,,NONE,1/1/1980,DONATED,,KITCHENER,N,,6,6,3,N,N,8.5,N,Y,18.11497612
86333,90558,ACTIVE,KIT 6,40171,46.3m 200mm  DI,TREATED,200,DI,NO,,NONE,1/1/1980,DONATED,,KITCHENER,N,,5,6,7,N,N,8.5,N,N,46.25027794
86334,13610,ACTIVE,KIT 6,5502,100.1m 200mm  DI,TREATED,200,DI,NO,,NONE,1/1/1980,DONATED,,KITCHENER,N,,6,6,0,N,N,8.5,N,Y,100.050326
86335,7760,ACTIVE,KIT 4,15816,71.5m 150mm  CI,TREATED,150,CI,NO,,NONE,1/1/1966,DONATED,,KITCHENER,N,,6,4,13,N,N,4.05,N,N,71.47354395
86336,90560,ACTIVE,KIT 4,15816,7.1m 150mm  CI,TREATED,150,CI,NO,,NONE,1/1/1966,DONATED,,KITCHENER,N,,6,4,13,N,N,7.85,N,N,7.078554788
86340,77168,ACTIVE,KIT 2W,602357,37.4m 150mm  PVC,TREATED,150,PVC,NO,,NONE,8/1/2011,DONATED,MTE,KITCHENER,N,,5,5,46,N,N,9.35,N,N,37.42640722
86341,90566,ACTIVE,KIT 2W,602357,6.7m 150mm  PVC,TREATED,150,PVC,NO,,NONE,8/1/2011,DONATED,MTE,KITCHENER,N,,6,5,46,N,N,9.35,N,N,6.732364878
86342,90568,ACTIVE,KIT 6,21161,12.4m 150mm  DI,TREATED,150,DI,NO,,NONE,1/1/1986,DONATED,,KITCHENER,N,,6,6,10,N,N,9.1,N,Y,12.41691659
86343,18920,ACTIVE,KIT 6,21161,311.7m 150mm  DI,TREATED,150,DI,NO,,NONE,1/1/1986,DONATED,,KITCHENER,N,,6,6,10,N,N,9.1,N,Y,311.6863823
86344,90570,ACTIVE,KIT 6,21161,147.9m 150mm  DI,TREATED,150,DI,NO,,NONE,1/1/1986,DONATED,,KITCHENER,N,,6,6,10,N,N,9.1,N,Y,147.9090843
86345,90572,ACTIVE,KIT 6,21177,9.3m 150mm  DI,TREATED,150,DI,NO,,NONE,1/1/1986,DONATED,,KITCHENER,N,,6,6,10,N,N,9.1,N,Y,9.286038561
86346,23820,ACTIVE,KIT 4,7018,183.7m 300mm  DI,TREATED,300,DI,NO,,NONE,7/1/1985,PURCHASED,,KITCHENER,N,,7,2,30,N,N,9.1,N,Y,183.6665136
86347,90574,ACTIVE,KIT 5,6161,7.5m 150mm  DI,TREATED,150,DI,NO,,NONE,4/4/1974,DONATED,NA,KITCHENER,N,,5,6,16,N,N,8.5,N,N,7.456946303
